"price","date"
200.533,"22/9/2017 2:29:29"
200.533,"22/9/2017 2:29:30"
200.533,"22/9/2017 2:29:31"
200.533,"22/9/2017 2:29:33"
200.533,"22/9/2017 2:29:34"
200.533,"22/9/2017 2:29:34"
200.533,"22/9/2017 2:29:35"
200.533,"22/9/2017 2:29:36"
200.533,"22/9/2017 2:29:37"
200.533,"22/9/2017 2:29:38"
200.533,"22/9/2017 2:29:40"
200.533,"22/9/2017 2:29:42"
200.533,"22/9/2017 2:29:42"
200.533,"22/9/2017 2:29:42"
200.533,"22/9/2017 2:29:43"
200.533,"22/9/2017 2:29:44"
200.533,"22/9/2017 2:29:45"
200.533,"22/9/2017 2:29:46"
200.533,"22/9/2017 2:29:48"
200.533,"22/9/2017 2:29:50"
200.533,"22/9/2017 2:29:50"
200.533,"22/9/2017 2:29:50"
200.533,"22/9/2017 2:29:51"
200.533,"22/9/2017 2:29:53"
200.533,"22/9/2017 2:29:54"
200.533,"22/9/2017 2:29:55"
200.533,"22/9/2017 2:29:55"
200.533,"22/9/2017 2:29:56"
200.533,"22/9/2017 2:29:58"
200.533,"22/9/2017 2:30:0"
200.533,"22/9/2017 2:30:0"
200.533,"22/9/2017 2:30:2"
200.533,"22/9/2017 2:30:2"
200.533,"22/9/2017 2:30:3"
200.533,"22/9/2017 2:30:3"
200.533,"22/9/2017 2:30:4"
200.533,"22/9/2017 2:30:6"
200.533,"22/9/2017 2:30:8"
200.533,"22/9/2017 2:30:8"
200.533,"22/9/2017 2:30:9"
200.533,"22/9/2017 2:30:9"
200.533,"22/9/2017 2:30:10"
200.533,"22/9/2017 2:30:11"
200.533,"22/9/2017 2:30:12"
200.533,"22/9/2017 2:30:13"
200.533,"22/9/2017 2:30:16"
200.533,"22/9/2017 2:30:16"
200.533,"22/9/2017 2:30:17"
200.533,"22/9/2017 2:30:17"
200.533,"22/9/2017 2:30:18"
200.533,"22/9/2017 2:30:19"
200.533,"22/9/2017 2:30:21"
200.533,"22/9/2017 2:30:21"
200.533,"22/9/2017 2:30:22"
200.533,"22/9/2017 2:30:23"
200.533,"22/9/2017 2:30:26"
200.533,"22/9/2017 2:30:26"
200.533,"22/9/2017 2:30:26"
200.533,"22/9/2017 2:30:27"
200.533,"22/9/2017 2:30:30"
200.533,"22/9/2017 2:30:30"
200.533,"22/9/2017 2:30:30"
200.533,"22/9/2017 2:30:31"
200.533,"22/9/2017 2:30:32"
200.533,"22/9/2017 2:30:34"
200.533,"22/9/2017 2:30:35"
200.533,"22/9/2017 2:30:35"
200.533,"22/9/2017 2:30:36"
200.533,"22/9/2017 2:30:37"
200.533,"22/9/2017 2:30:40"
200.533,"22/9/2017 2:30:40"
200.533,"22/9/2017 2:30:40"
200.533,"22/9/2017 2:30:41"
200.533,"22/9/2017 2:30:43"
200.533,"22/9/2017 2:30:44"
200.533,"22/9/2017 2:30:44"
200.533,"22/9/2017 2:30:45"
200.533,"22/9/2017 2:30:46"
200.533,"22/9/2017 2:30:48"
200.533,"22/9/2017 2:30:48"
200.533,"22/9/2017 2:30:50"
200.533,"22/9/2017 2:30:50"
200.533,"22/9/2017 2:30:51"
200.533,"22/9/2017 2:30:53"
200.533,"22/9/2017 2:30:53"
200.533,"22/9/2017 2:30:54"
200.533,"22/9/2017 2:30:57"
200.533,"22/9/2017 2:30:58"
200.533,"22/9/2017 2:30:58"
200.533,"22/9/2017 2:30:58"
200.533,"22/9/2017 2:30:59"
200.533,"22/9/2017 2:31:2"
200.533,"22/9/2017 2:31:3"
200.533,"22/9/2017 2:31:3"
200.533,"22/9/2017 2:31:4"
