"price","date"
339.991,"2017-10-22T07:23:14.469Z"
339.991,"2017-10-22T07:23:14.688Z"
339.991,"2017-10-22T07:23:15.161Z"
339.991,"2017-10-22T07:23:15.806Z"
339.991,"2017-10-22T07:23:16.840Z"
339.991,"2017-10-22T07:23:16.848Z"
339.991,"2017-10-22T07:23:17.183Z"
339.991,"2017-10-22T07:23:17.606Z"
339.991,"2017-10-22T07:23:18.325Z"
339.991,"2017-10-22T07:23:18.894Z"
339.991,"2017-10-22T07:23:19.204Z"
339.991,"2017-10-22T07:23:19.808Z"
339.991,"2017-10-22T07:23:20.495Z"
339.991,"2017-10-22T07:23:21.865Z"
339.991,"2017-10-22T07:23:21.957Z"
339.991,"2017-10-22T07:23:22.007Z"
339.991,"2017-10-22T07:23:22.212Z"
339.991,"2017-10-22T07:23:22.812Z"
339.991,"2017-10-22T07:23:23.179Z"
339.991,"2017-10-22T07:23:23.524Z"
339.991,"2017-10-22T07:23:24.119Z"
339.991,"2017-10-22T07:23:26.113Z"
339.991,"2017-10-22T07:23:26.181Z"
339.991,"2017-10-22T07:23:26.192Z"
339.991,"2017-10-22T07:23:26.198Z"
339.991,"2017-10-22T07:23:26.699Z"
339.991,"2017-10-22T07:23:27.134Z"
339.991,"2017-10-22T07:23:28.343Z"
339.991,"2017-10-22T07:23:28.404Z"
339.991,"2017-10-22T07:23:29.806Z"
339.991,"2017-10-22T07:23:31.451Z"
339.991,"2017-10-22T07:23:31.579Z"
339.991,"2017-10-22T07:23:31.598Z"
339.991,"2017-10-22T07:23:31.605Z"
339.991,"2017-10-22T07:23:31.761Z"
339.991,"2017-10-22T07:23:31.823Z"
339.991,"2017-10-22T07:23:32.132Z"
339.991,"2017-10-22T07:23:32.680Z"
339.991,"2017-10-22T07:23:35.313Z"
339.991,"2017-10-22T07:23:35.454Z"
339.991,"2017-10-22T07:23:35.517Z"
339.991,"2017-10-22T07:23:35.536Z"
339.991,"2017-10-22T07:23:35.586Z"
339.991,"2017-10-22T07:23:35.711Z"
339.991,"2017-10-22T07:23:36.246Z"
339.991,"2017-10-22T07:23:36.749Z"
339.991,"2017-10-22T07:23:39.724Z"
339.991,"2017-10-22T07:23:39.796Z"
339.991,"2017-10-22T07:23:39.947Z"
339.991,"2017-10-22T07:23:39.961Z"
339.991,"2017-10-22T07:23:39.968Z"
339.991,"2017-10-22T07:23:39.981Z"
339.991,"2017-10-22T07:23:40.383Z"
339.991,"2017-10-22T07:23:40.980Z"
339.991,"2017-10-22T07:23:41.926Z"
339.991,"2017-10-22T07:23:42.305Z"
339.991,"2017-10-22T07:23:42.335Z"
339.991,"2017-10-22T07:23:42.725Z"
339.991,"2017-10-22T07:23:43.270Z"
339.991,"2017-10-22T07:23:43.777Z"
339.991,"2017-10-22T07:23:44.366Z"
339.991,"2017-10-22T07:23:44.765Z"
339.991,"2017-10-22T07:23:45.233Z"
339.991,"2017-10-22T07:23:45.755Z"
339.991,"2017-10-22T07:23:46.274Z"
339.991,"2017-10-22T07:23:48.820Z"
339.991,"2017-10-22T07:23:49.131Z"
339.991,"2017-10-22T07:23:49.191Z"
339.991,"2017-10-22T07:23:49.234Z"
339.991,"2017-10-22T07:23:49.271Z"
339.991,"2017-10-22T07:23:49.358Z"
339.991,"2017-10-22T07:23:50.174Z"
339.991,"2017-10-22T07:23:50.332Z"
339.991,"2017-10-22T07:23:51.869Z"
339.991,"2017-10-22T07:23:53.175Z"
339.991,"2017-10-22T07:23:53.228Z"
339.991,"2017-10-22T07:23:53.255Z"
339.991,"2017-10-22T07:23:53.356Z"
339.991,"2017-10-22T07:23:53.371Z"
339.991,"2017-10-22T07:23:53.792Z"
339.991,"2017-10-22T07:23:54.287Z"
339.991,"2017-10-22T07:23:54.788Z"
339.991,"2017-10-22T07:23:55.292Z"
339.991,"2017-10-22T07:23:55.889Z"
339.991,"2017-10-22T07:23:56.300Z"
339.991,"2017-10-22T07:23:56.813Z"
339.991,"2017-10-22T07:23:57.301Z"
339.991,"2017-10-22T07:23:57.796Z"
339.991,"2017-10-22T07:23:58.214Z"
339.991,"2017-10-22T07:23:58.824Z"
339.991,"2017-10-22T07:23:59.390Z"
