"price","date"
5940.89,"2017-10-22T07:23:14.469Z"
5940.89,"2017-10-22T07:23:14.688Z"
5940.89,"2017-10-22T07:23:15.161Z"
5940.89,"2017-10-22T07:23:15.806Z"
5940.89,"2017-10-22T07:23:16.840Z"
5940.89,"2017-10-22T07:23:16.848Z"
5940.89,"2017-10-22T07:23:17.183Z"
5940.89,"2017-10-22T07:23:17.606Z"
5940.89,"2017-10-22T07:23:18.325Z"
5940.89,"2017-10-22T07:23:18.894Z"
5940.89,"2017-10-22T07:23:19.204Z"
5940.89,"2017-10-22T07:23:19.808Z"
5940.89,"2017-10-22T07:23:20.495Z"
5940.89,"2017-10-22T07:23:21.865Z"
5940.89,"2017-10-22T07:23:21.957Z"
5940.89,"2017-10-22T07:23:22.007Z"
5940.89,"2017-10-22T07:23:22.212Z"
5940.89,"2017-10-22T07:23:22.812Z"
5940.89,"2017-10-22T07:23:23.179Z"
5940.89,"2017-10-22T07:23:23.524Z"
5940.89,"2017-10-22T07:23:24.119Z"
5940.89,"2017-10-22T07:23:26.113Z"
5940.89,"2017-10-22T07:23:26.181Z"
5940.89,"2017-10-22T07:23:26.192Z"
5940.89,"2017-10-22T07:23:26.198Z"
5940.89,"2017-10-22T07:23:26.699Z"
5940.89,"2017-10-22T07:23:27.134Z"
5940.89,"2017-10-22T07:23:28.343Z"
5940.89,"2017-10-22T07:23:28.404Z"
5940.89,"2017-10-22T07:23:29.806Z"
5940.89,"2017-10-22T07:23:31.451Z"
5940.89,"2017-10-22T07:23:31.579Z"
5940.89,"2017-10-22T07:23:31.598Z"
5940.89,"2017-10-22T07:23:31.605Z"
5940.89,"2017-10-22T07:23:31.761Z"
5940.89,"2017-10-22T07:23:31.823Z"
5940.89,"2017-10-22T07:23:32.132Z"
5940.89,"2017-10-22T07:23:32.680Z"
5940.89,"2017-10-22T07:23:35.313Z"
5940.89,"2017-10-22T07:23:35.454Z"
5940.89,"2017-10-22T07:23:35.517Z"
5940.89,"2017-10-22T07:23:35.536Z"
5940.89,"2017-10-22T07:23:35.586Z"
5940.89,"2017-10-22T07:23:35.711Z"
5940.89,"2017-10-22T07:23:36.246Z"
5940.89,"2017-10-22T07:23:36.749Z"
5940.89,"2017-10-22T07:23:39.724Z"
5940.89,"2017-10-22T07:23:39.796Z"
5940.89,"2017-10-22T07:23:39.947Z"
5940.89,"2017-10-22T07:23:39.961Z"
5940.89,"2017-10-22T07:23:39.968Z"
5940.89,"2017-10-22T07:23:39.981Z"
5940.89,"2017-10-22T07:23:40.383Z"
5940.89,"2017-10-22T07:23:40.980Z"
5940.89,"2017-10-22T07:23:41.926Z"
5940.89,"2017-10-22T07:23:42.305Z"
5940.89,"2017-10-22T07:23:42.335Z"
5940.89,"2017-10-22T07:23:42.725Z"
5940.89,"2017-10-22T07:23:43.270Z"
5940.89,"2017-10-22T07:23:43.777Z"
5940.89,"2017-10-22T07:23:44.366Z"
5940.89,"2017-10-22T07:23:44.765Z"
5940.89,"2017-10-22T07:23:45.233Z"
5940.89,"2017-10-22T07:23:45.755Z"
5940.89,"2017-10-22T07:23:46.274Z"
5940.89,"2017-10-22T07:23:48.820Z"
5940.89,"2017-10-22T07:23:49.131Z"
5940.89,"2017-10-22T07:23:49.191Z"
5940.89,"2017-10-22T07:23:49.234Z"
5940.89,"2017-10-22T07:23:49.271Z"
5940.89,"2017-10-22T07:23:49.358Z"
5940.89,"2017-10-22T07:23:50.174Z"
5940.89,"2017-10-22T07:23:50.332Z"
5940.89,"2017-10-22T07:23:51.869Z"
5940.89,"2017-10-22T07:23:53.175Z"
5940.89,"2017-10-22T07:23:53.228Z"
5940.89,"2017-10-22T07:23:53.255Z"
5940.89,"2017-10-22T07:23:53.356Z"
5940.89,"2017-10-22T07:23:53.371Z"
5940.89,"2017-10-22T07:23:53.792Z"
5940.89,"2017-10-22T07:23:54.287Z"
5940.89,"2017-10-22T07:23:54.788Z"
5940.89,"2017-10-22T07:23:55.292Z"
5940.89,"2017-10-22T07:23:55.889Z"
5940.89,"2017-10-22T07:23:56.300Z"
5940.89,"2017-10-22T07:23:56.813Z"
5940.89,"2017-10-22T07:23:57.301Z"
5940.89,"2017-10-22T07:23:57.796Z"
5940.89,"2017-10-22T07:23:58.214Z"
5940.89,"2017-10-22T07:23:58.824Z"
5940.89,"2017-10-22T07:23:59.390Z"
