"price","date"
280.919,"2017-10-22T07:23:14.469Z"
280.919,"2017-10-22T07:23:14.688Z"
280.919,"2017-10-22T07:23:15.161Z"
280.919,"2017-10-22T07:23:15.806Z"
280.919,"2017-10-22T07:23:16.840Z"
280.919,"2017-10-22T07:23:16.848Z"
280.919,"2017-10-22T07:23:17.183Z"
280.919,"2017-10-22T07:23:17.606Z"
280.919,"2017-10-22T07:23:18.325Z"
280.919,"2017-10-22T07:23:18.894Z"
280.919,"2017-10-22T07:23:19.204Z"
280.919,"2017-10-22T07:23:19.808Z"
280.919,"2017-10-22T07:23:20.495Z"
280.919,"2017-10-22T07:23:21.865Z"
280.919,"2017-10-22T07:23:21.957Z"
280.919,"2017-10-22T07:23:22.007Z"
280.919,"2017-10-22T07:23:22.212Z"
280.919,"2017-10-22T07:23:22.812Z"
280.919,"2017-10-22T07:23:23.179Z"
280.919,"2017-10-22T07:23:23.524Z"
280.919,"2017-10-22T07:23:24.119Z"
280.919,"2017-10-22T07:23:26.113Z"
280.919,"2017-10-22T07:23:26.181Z"
280.919,"2017-10-22T07:23:26.192Z"
280.919,"2017-10-22T07:23:26.198Z"
280.919,"2017-10-22T07:23:26.699Z"
280.919,"2017-10-22T07:23:27.134Z"
280.919,"2017-10-22T07:23:28.343Z"
280.919,"2017-10-22T07:23:28.404Z"
280.919,"2017-10-22T07:23:29.806Z"
280.919,"2017-10-22T07:23:31.451Z"
280.919,"2017-10-22T07:23:31.579Z"
280.919,"2017-10-22T07:23:31.598Z"
280.919,"2017-10-22T07:23:31.605Z"
280.919,"2017-10-22T07:23:31.761Z"
280.919,"2017-10-22T07:23:31.823Z"
280.919,"2017-10-22T07:23:32.132Z"
280.919,"2017-10-22T07:23:32.680Z"
280.919,"2017-10-22T07:23:35.313Z"
280.919,"2017-10-22T07:23:35.454Z"
280.919,"2017-10-22T07:23:35.517Z"
280.919,"2017-10-22T07:23:35.536Z"
280.919,"2017-10-22T07:23:35.586Z"
280.919,"2017-10-22T07:23:35.711Z"
280.919,"2017-10-22T07:23:36.246Z"
280.919,"2017-10-22T07:23:36.749Z"
280.919,"2017-10-22T07:23:39.724Z"
280.919,"2017-10-22T07:23:39.796Z"
280.919,"2017-10-22T07:23:39.947Z"
280.919,"2017-10-22T07:23:39.961Z"
280.919,"2017-10-22T07:23:39.968Z"
280.919,"2017-10-22T07:23:39.981Z"
280.919,"2017-10-22T07:23:40.383Z"
280.919,"2017-10-22T07:23:40.980Z"
280.919,"2017-10-22T07:23:41.926Z"
280.919,"2017-10-22T07:23:42.305Z"
280.919,"2017-10-22T07:23:42.335Z"
280.919,"2017-10-22T07:23:42.725Z"
280.919,"2017-10-22T07:23:43.270Z"
280.919,"2017-10-22T07:23:43.777Z"
280.919,"2017-10-22T07:23:44.366Z"
280.919,"2017-10-22T07:23:44.765Z"
280.919,"2017-10-22T07:23:45.233Z"
280.919,"2017-10-22T07:23:45.755Z"
280.919,"2017-10-22T07:23:46.274Z"
280.919,"2017-10-22T07:23:48.820Z"
280.919,"2017-10-22T07:23:49.131Z"
280.919,"2017-10-22T07:23:49.191Z"
280.919,"2017-10-22T07:23:49.234Z"
280.919,"2017-10-22T07:23:49.271Z"
280.919,"2017-10-22T07:23:49.358Z"
280.919,"2017-10-22T07:23:50.174Z"
280.919,"2017-10-22T07:23:50.332Z"
280.919,"2017-10-22T07:23:51.869Z"
280.919,"2017-10-22T07:23:53.175Z"
280.919,"2017-10-22T07:23:53.228Z"
280.919,"2017-10-22T07:23:53.255Z"
280.919,"2017-10-22T07:23:53.356Z"
280.919,"2017-10-22T07:23:53.371Z"
280.919,"2017-10-22T07:23:53.792Z"
280.919,"2017-10-22T07:23:54.287Z"
280.919,"2017-10-22T07:23:54.788Z"
280.919,"2017-10-22T07:23:55.292Z"
280.919,"2017-10-22T07:23:55.889Z"
280.919,"2017-10-22T07:23:56.300Z"
280.919,"2017-10-22T07:23:56.813Z"
280.919,"2017-10-22T07:23:57.301Z"
280.919,"2017-10-22T07:23:57.796Z"
280.919,"2017-10-22T07:23:58.214Z"
280.919,"2017-10-22T07:23:58.824Z"
280.919,"2017-10-22T07:23:59.390Z"
