"price","date"
297.41,"2017-10-22T07:23:14.469Z"
297.41,"2017-10-22T07:23:14.688Z"
297.41,"2017-10-22T07:23:15.161Z"
297.41,"2017-10-22T07:23:15.806Z"
297.41,"2017-10-22T07:23:16.840Z"
297.41,"2017-10-22T07:23:16.848Z"
297.41,"2017-10-22T07:23:17.183Z"
297.41,"2017-10-22T07:23:17.606Z"
297.41,"2017-10-22T07:23:18.325Z"
297.41,"2017-10-22T07:23:18.894Z"
297.41,"2017-10-22T07:23:19.204Z"
297.41,"2017-10-22T07:23:19.808Z"
297.41,"2017-10-22T07:23:20.495Z"
297.41,"2017-10-22T07:23:21.865Z"
297.41,"2017-10-22T07:23:21.957Z"
297.41,"2017-10-22T07:23:22.007Z"
297.41,"2017-10-22T07:23:22.212Z"
297.41,"2017-10-22T07:23:22.812Z"
297.41,"2017-10-22T07:23:23.179Z"
297.41,"2017-10-22T07:23:23.524Z"
297.41,"2017-10-22T07:23:24.119Z"
297.41,"2017-10-22T07:23:26.113Z"
297.41,"2017-10-22T07:23:26.181Z"
297.41,"2017-10-22T07:23:26.192Z"
297.41,"2017-10-22T07:23:26.198Z"
297.41,"2017-10-22T07:23:26.699Z"
297.41,"2017-10-22T07:23:27.134Z"
297.41,"2017-10-22T07:23:28.343Z"
297.41,"2017-10-22T07:23:28.404Z"
297.41,"2017-10-22T07:23:29.806Z"
297.41,"2017-10-22T07:23:31.451Z"
297.41,"2017-10-22T07:23:31.579Z"
297.41,"2017-10-22T07:23:31.598Z"
297.41,"2017-10-22T07:23:31.605Z"
297.41,"2017-10-22T07:23:31.761Z"
297.41,"2017-10-22T07:23:31.823Z"
297.41,"2017-10-22T07:23:32.132Z"
297.41,"2017-10-22T07:23:32.680Z"
297.41,"2017-10-22T07:23:35.313Z"
297.41,"2017-10-22T07:23:35.454Z"
297.41,"2017-10-22T07:23:35.517Z"
297.41,"2017-10-22T07:23:35.536Z"
297.41,"2017-10-22T07:23:35.586Z"
297.41,"2017-10-22T07:23:35.711Z"
297.41,"2017-10-22T07:23:36.246Z"
297.41,"2017-10-22T07:23:36.749Z"
297.41,"2017-10-22T07:23:39.724Z"
297.41,"2017-10-22T07:23:39.796Z"
297.41,"2017-10-22T07:23:39.947Z"
297.41,"2017-10-22T07:23:39.961Z"
297.41,"2017-10-22T07:23:39.968Z"
297.41,"2017-10-22T07:23:39.981Z"
297.41,"2017-10-22T07:23:40.383Z"
297.41,"2017-10-22T07:23:40.980Z"
297.41,"2017-10-22T07:23:41.926Z"
297.41,"2017-10-22T07:23:42.305Z"
297.41,"2017-10-22T07:23:42.335Z"
297.41,"2017-10-22T07:23:42.725Z"
297.41,"2017-10-22T07:23:43.270Z"
297.41,"2017-10-22T07:23:43.777Z"
297.41,"2017-10-22T07:23:44.366Z"
297.41,"2017-10-22T07:23:44.765Z"
297.41,"2017-10-22T07:23:45.233Z"
297.41,"2017-10-22T07:23:45.755Z"
297.41,"2017-10-22T07:23:46.274Z"
297.41,"2017-10-22T07:23:48.820Z"
297.41,"2017-10-22T07:23:49.131Z"
297.41,"2017-10-22T07:23:49.191Z"
297.41,"2017-10-22T07:23:49.234Z"
297.41,"2017-10-22T07:23:49.271Z"
297.41,"2017-10-22T07:23:49.358Z"
297.41,"2017-10-22T07:23:50.174Z"
297.41,"2017-10-22T07:23:50.332Z"
297.41,"2017-10-22T07:23:51.869Z"
297.41,"2017-10-22T07:23:53.175Z"
297.41,"2017-10-22T07:23:53.228Z"
297.41,"2017-10-22T07:23:53.255Z"
297.41,"2017-10-22T07:23:53.356Z"
297.41,"2017-10-22T07:23:53.371Z"
297.41,"2017-10-22T07:23:53.792Z"
297.41,"2017-10-22T07:23:54.287Z"
297.41,"2017-10-22T07:23:54.788Z"
297.41,"2017-10-22T07:23:55.292Z"
297.41,"2017-10-22T07:23:55.889Z"
297.41,"2017-10-22T07:23:56.300Z"
297.41,"2017-10-22T07:23:56.813Z"
297.41,"2017-10-22T07:23:57.301Z"
297.41,"2017-10-22T07:23:57.796Z"
297.41,"2017-10-22T07:23:58.214Z"
297.41,"2017-10-22T07:23:58.824Z"
297.41,"2017-10-22T07:23:59.390Z"
