"price","date"
4.79952,"2017-10-22T07:23:14.469Z"
4.79952,"2017-10-22T07:23:14.688Z"
4.79952,"2017-10-22T07:23:15.161Z"
4.79952,"2017-10-22T07:23:15.806Z"
4.79952,"2017-10-22T07:23:16.840Z"
4.79952,"2017-10-22T07:23:16.848Z"
4.79952,"2017-10-22T07:23:17.183Z"
4.79952,"2017-10-22T07:23:17.606Z"
4.79952,"2017-10-22T07:23:18.325Z"
4.79952,"2017-10-22T07:23:18.894Z"
4.79952,"2017-10-22T07:23:19.204Z"
4.79952,"2017-10-22T07:23:19.808Z"
4.79952,"2017-10-22T07:23:20.495Z"
4.79952,"2017-10-22T07:23:21.865Z"
4.79952,"2017-10-22T07:23:21.957Z"
4.79952,"2017-10-22T07:23:22.007Z"
4.79952,"2017-10-22T07:23:22.212Z"
4.79952,"2017-10-22T07:23:22.812Z"
4.79952,"2017-10-22T07:23:23.179Z"
4.79952,"2017-10-22T07:23:23.524Z"
4.79952,"2017-10-22T07:23:24.119Z"
4.79952,"2017-10-22T07:23:26.113Z"
4.79952,"2017-10-22T07:23:26.181Z"
4.79952,"2017-10-22T07:23:26.192Z"
4.79952,"2017-10-22T07:23:26.198Z"
4.79952,"2017-10-22T07:23:26.699Z"
4.79952,"2017-10-22T07:23:27.134Z"
4.79952,"2017-10-22T07:23:28.343Z"
4.79952,"2017-10-22T07:23:28.404Z"
4.79952,"2017-10-22T07:23:29.806Z"
4.79952,"2017-10-22T07:23:31.451Z"
4.79952,"2017-10-22T07:23:31.579Z"
4.79952,"2017-10-22T07:23:31.598Z"
4.79952,"2017-10-22T07:23:31.605Z"
4.79952,"2017-10-22T07:23:31.761Z"
4.79952,"2017-10-22T07:23:31.823Z"
4.79952,"2017-10-22T07:23:32.132Z"
4.79952,"2017-10-22T07:23:32.680Z"
4.79952,"2017-10-22T07:23:35.313Z"
4.79952,"2017-10-22T07:23:35.454Z"
4.79952,"2017-10-22T07:23:35.517Z"
4.79952,"2017-10-22T07:23:35.536Z"
4.79952,"2017-10-22T07:23:35.586Z"
4.79952,"2017-10-22T07:23:35.711Z"
4.79952,"2017-10-22T07:23:36.246Z"
4.79952,"2017-10-22T07:23:36.749Z"
4.79952,"2017-10-22T07:23:39.724Z"
4.79952,"2017-10-22T07:23:39.796Z"
4.79952,"2017-10-22T07:23:39.947Z"
4.79952,"2017-10-22T07:23:39.961Z"
4.79952,"2017-10-22T07:23:39.968Z"
4.79952,"2017-10-22T07:23:39.981Z"
4.79952,"2017-10-22T07:23:40.383Z"
4.79952,"2017-10-22T07:23:40.980Z"
4.79952,"2017-10-22T07:23:41.926Z"
4.79952,"2017-10-22T07:23:42.305Z"
4.79952,"2017-10-22T07:23:42.335Z"
4.79952,"2017-10-22T07:23:42.725Z"
4.79952,"2017-10-22T07:23:43.270Z"
4.79952,"2017-10-22T07:23:43.777Z"
4.79952,"2017-10-22T07:23:44.366Z"
4.79952,"2017-10-22T07:23:44.765Z"
4.79952,"2017-10-22T07:23:45.233Z"
4.79952,"2017-10-22T07:23:45.755Z"
4.79952,"2017-10-22T07:23:46.274Z"
4.79952,"2017-10-22T07:23:48.820Z"
4.79952,"2017-10-22T07:23:49.131Z"
4.79952,"2017-10-22T07:23:49.191Z"
4.79952,"2017-10-22T07:23:49.234Z"
4.79952,"2017-10-22T07:23:49.271Z"
4.79952,"2017-10-22T07:23:49.358Z"
4.79952,"2017-10-22T07:23:50.174Z"
4.79952,"2017-10-22T07:23:50.332Z"
4.79952,"2017-10-22T07:23:51.869Z"
4.79952,"2017-10-22T07:23:53.175Z"
4.79952,"2017-10-22T07:23:53.228Z"
4.79952,"2017-10-22T07:23:53.255Z"
4.79952,"2017-10-22T07:23:53.356Z"
4.79952,"2017-10-22T07:23:53.371Z"
4.79952,"2017-10-22T07:23:53.792Z"
4.79952,"2017-10-22T07:23:54.287Z"
4.79952,"2017-10-22T07:23:54.788Z"
4.79952,"2017-10-22T07:23:55.292Z"
4.79952,"2017-10-22T07:23:55.889Z"
4.79952,"2017-10-22T07:23:56.300Z"
4.79952,"2017-10-22T07:23:56.813Z"
4.79952,"2017-10-22T07:23:57.301Z"
4.79952,"2017-10-22T07:23:57.796Z"
4.79952,"2017-10-22T07:23:58.214Z"
4.79952,"2017-10-22T07:23:58.824Z"
4.79952,"2017-10-22T07:23:59.390Z"
