"price","date"
56.9509,"22/9/2017 2:29:29"
56.9509,"22/9/2017 2:29:30"
56.9509,"22/9/2017 2:29:31"
56.9509,"22/9/2017 2:29:33"
56.9509,"22/9/2017 2:29:34"
56.9509,"22/9/2017 2:29:34"
56.9509,"22/9/2017 2:29:35"
56.9509,"22/9/2017 2:29:36"
56.9509,"22/9/2017 2:29:37"
56.9509,"22/9/2017 2:29:38"
56.9509,"22/9/2017 2:29:40"
56.9509,"22/9/2017 2:29:42"
56.9509,"22/9/2017 2:29:42"
56.9509,"22/9/2017 2:29:42"
56.9509,"22/9/2017 2:29:43"
56.9509,"22/9/2017 2:29:44"
56.9509,"22/9/2017 2:29:45"
56.9509,"22/9/2017 2:29:46"
56.9509,"22/9/2017 2:29:48"
56.9509,"22/9/2017 2:29:50"
56.9509,"22/9/2017 2:29:50"
56.9509,"22/9/2017 2:29:50"
56.9509,"22/9/2017 2:29:51"
56.9509,"22/9/2017 2:29:53"
56.9509,"22/9/2017 2:29:54"
56.9509,"22/9/2017 2:29:55"
56.9509,"22/9/2017 2:29:55"
56.9509,"22/9/2017 2:29:56"
56.9509,"22/9/2017 2:29:58"
56.9509,"22/9/2017 2:30:0"
56.9509,"22/9/2017 2:30:0"
56.9509,"22/9/2017 2:30:2"
56.9509,"22/9/2017 2:30:2"
56.9509,"22/9/2017 2:30:3"
56.9509,"22/9/2017 2:30:3"
56.9509,"22/9/2017 2:30:4"
56.9509,"22/9/2017 2:30:6"
56.9509,"22/9/2017 2:30:8"
56.9509,"22/9/2017 2:30:8"
56.9509,"22/9/2017 2:30:9"
56.9509,"22/9/2017 2:30:9"
56.9509,"22/9/2017 2:30:10"
56.9509,"22/9/2017 2:30:11"
56.9509,"22/9/2017 2:30:12"
56.9509,"22/9/2017 2:30:13"
56.9509,"22/9/2017 2:30:16"
56.9509,"22/9/2017 2:30:16"
56.9509,"22/9/2017 2:30:17"
56.9509,"22/9/2017 2:30:17"
56.9509,"22/9/2017 2:30:18"
56.9509,"22/9/2017 2:30:19"
56.9509,"22/9/2017 2:30:21"
56.9509,"22/9/2017 2:30:21"
56.9509,"22/9/2017 2:30:22"
56.9509,"22/9/2017 2:30:23"
56.9509,"22/9/2017 2:30:26"
56.9509,"22/9/2017 2:30:26"
56.9509,"22/9/2017 2:30:26"
56.9509,"22/9/2017 2:30:27"
56.9509,"22/9/2017 2:30:30"
56.9509,"22/9/2017 2:30:30"
