"price","date"
28.732,"2017-10-22T07:23:14.469Z"
28.732,"2017-10-22T07:23:14.688Z"
28.732,"2017-10-22T07:23:15.161Z"
28.732,"2017-10-22T07:23:15.806Z"
28.732,"2017-10-22T07:23:16.840Z"
28.732,"2017-10-22T07:23:16.848Z"
28.732,"2017-10-22T07:23:17.183Z"
28.732,"2017-10-22T07:23:17.606Z"
28.732,"2017-10-22T07:23:18.325Z"
28.732,"2017-10-22T07:23:18.894Z"
28.732,"2017-10-22T07:23:19.204Z"
28.732,"2017-10-22T07:23:19.808Z"
28.732,"2017-10-22T07:23:20.495Z"
28.732,"2017-10-22T07:23:21.865Z"
28.732,"2017-10-22T07:23:21.957Z"
28.732,"2017-10-22T07:23:22.007Z"
28.732,"2017-10-22T07:23:22.212Z"
28.732,"2017-10-22T07:23:22.812Z"
28.732,"2017-10-22T07:23:23.179Z"
28.732,"2017-10-22T07:23:23.524Z"
28.732,"2017-10-22T07:23:24.119Z"
28.732,"2017-10-22T07:23:26.113Z"
28.732,"2017-10-22T07:23:26.181Z"
28.732,"2017-10-22T07:23:26.192Z"
28.732,"2017-10-22T07:23:26.198Z"
28.732,"2017-10-22T07:23:26.699Z"
28.732,"2017-10-22T07:23:27.134Z"
28.732,"2017-10-22T07:23:28.343Z"
28.732,"2017-10-22T07:23:28.404Z"
28.732,"2017-10-22T07:23:29.806Z"
28.732,"2017-10-22T07:23:31.451Z"
28.732,"2017-10-22T07:23:31.579Z"
28.732,"2017-10-22T07:23:31.598Z"
28.732,"2017-10-22T07:23:31.605Z"
28.732,"2017-10-22T07:23:31.761Z"
28.732,"2017-10-22T07:23:31.823Z"
28.732,"2017-10-22T07:23:32.132Z"
28.732,"2017-10-22T07:23:32.680Z"
28.732,"2017-10-22T07:23:35.313Z"
28.732,"2017-10-22T07:23:35.454Z"
28.732,"2017-10-22T07:23:35.517Z"
28.732,"2017-10-22T07:23:35.536Z"
28.732,"2017-10-22T07:23:35.586Z"
28.732,"2017-10-22T07:23:35.711Z"
28.732,"2017-10-22T07:23:36.246Z"
28.732,"2017-10-22T07:23:36.749Z"
28.732,"2017-10-22T07:23:39.724Z"
28.732,"2017-10-22T07:23:39.796Z"
28.732,"2017-10-22T07:23:39.947Z"
28.732,"2017-10-22T07:23:39.961Z"
28.732,"2017-10-22T07:23:39.968Z"
28.732,"2017-10-22T07:23:39.981Z"
28.732,"2017-10-22T07:23:40.383Z"
28.732,"2017-10-22T07:23:40.980Z"
28.732,"2017-10-22T07:23:41.926Z"
28.732,"2017-10-22T07:23:42.305Z"
28.732,"2017-10-22T07:23:42.335Z"
28.732,"2017-10-22T07:23:42.725Z"
28.732,"2017-10-22T07:23:43.270Z"
28.732,"2017-10-22T07:23:43.777Z"
28.732,"2017-10-22T07:23:44.366Z"
28.732,"2017-10-22T07:23:44.765Z"
28.732,"2017-10-22T07:23:45.233Z"
28.732,"2017-10-22T07:23:45.755Z"
28.732,"2017-10-22T07:23:46.274Z"
28.732,"2017-10-22T07:23:48.820Z"
28.732,"2017-10-22T07:23:49.131Z"
28.732,"2017-10-22T07:23:49.191Z"
28.732,"2017-10-22T07:23:49.234Z"
28.732,"2017-10-22T07:23:49.271Z"
28.732,"2017-10-22T07:23:49.358Z"
28.732,"2017-10-22T07:23:50.174Z"
28.732,"2017-10-22T07:23:50.332Z"
28.732,"2017-10-22T07:23:51.869Z"
28.732,"2017-10-22T07:23:53.175Z"
28.732,"2017-10-22T07:23:53.228Z"
28.732,"2017-10-22T07:23:53.255Z"
28.732,"2017-10-22T07:23:53.356Z"
28.732,"2017-10-22T07:23:53.371Z"
28.732,"2017-10-22T07:23:53.792Z"
28.732,"2017-10-22T07:23:54.287Z"
28.732,"2017-10-22T07:23:54.788Z"
28.732,"2017-10-22T07:23:55.292Z"
28.732,"2017-10-22T07:23:55.889Z"
28.732,"2017-10-22T07:23:56.300Z"
28.732,"2017-10-22T07:23:56.813Z"
28.732,"2017-10-22T07:23:57.301Z"
28.732,"2017-10-22T07:23:57.796Z"
28.732,"2017-10-22T07:23:58.214Z"
28.732,"2017-10-22T07:23:58.824Z"
28.732,"2017-10-22T07:23:59.390Z"
