"price","date"
7.39263,"22/9/2017 2:29:29"
7.39263,"22/9/2017 2:29:30"
7.39263,"22/9/2017 2:29:31"
7.39263,"22/9/2017 2:29:33"
7.39263,"22/9/2017 2:29:34"
7.39263,"22/9/2017 2:29:34"
7.39263,"22/9/2017 2:29:35"
7.39263,"22/9/2017 2:29:36"
7.39263,"22/9/2017 2:29:37"
7.39263,"22/9/2017 2:29:38"
7.39263,"22/9/2017 2:29:40"
7.39263,"22/9/2017 2:29:42"
7.39263,"22/9/2017 2:29:42"
7.39263,"22/9/2017 2:29:42"
7.39263,"22/9/2017 2:29:43"
7.39263,"22/9/2017 2:29:44"
7.39263,"22/9/2017 2:29:45"
7.39263,"22/9/2017 2:29:46"
7.39263,"22/9/2017 2:29:48"
7.39263,"22/9/2017 2:29:50"
7.39263,"22/9/2017 2:29:50"
7.39263,"22/9/2017 2:29:50"
7.39263,"22/9/2017 2:29:51"
7.39263,"22/9/2017 2:29:53"
7.39263,"22/9/2017 2:29:54"
7.39263,"22/9/2017 2:29:55"
7.39263,"22/9/2017 2:29:55"
7.39263,"22/9/2017 2:29:56"
7.39263,"22/9/2017 2:29:58"
7.39263,"22/9/2017 2:30:0"
7.39263,"22/9/2017 2:30:0"
7.39263,"22/9/2017 2:30:2"
7.39263,"22/9/2017 2:30:2"
7.39263,"22/9/2017 2:30:3"
7.39263,"22/9/2017 2:30:3"
7.39263,"22/9/2017 2:30:4"
7.39263,"22/9/2017 2:30:6"
7.39263,"22/9/2017 2:30:8"
7.39263,"22/9/2017 2:30:8"
7.39263,"22/9/2017 2:30:9"
7.39263,"22/9/2017 2:30:9"
7.39263,"22/9/2017 2:30:10"
7.39263,"22/9/2017 2:30:11"
7.39263,"22/9/2017 2:30:12"
7.39263,"22/9/2017 2:30:13"
7.39263,"22/9/2017 2:30:16"
7.39263,"22/9/2017 2:30:16"
7.39263,"22/9/2017 2:30:17"
7.39263,"22/9/2017 2:30:17"
7.39263,"22/9/2017 2:30:18"
7.39263,"22/9/2017 2:30:19"
7.39263,"22/9/2017 2:30:21"
7.39263,"22/9/2017 2:30:21"
7.39263,"22/9/2017 2:30:22"
7.39263,"22/9/2017 2:30:23"
7.39263,"22/9/2017 2:30:26"
7.39263,"22/9/2017 2:30:26"
7.39263,"22/9/2017 2:30:26"
7.39263,"22/9/2017 2:30:27"
7.39263,"22/9/2017 2:30:30"
7.39263,"22/9/2017 2:30:30"
7.39263,"22/9/2017 2:30:30"
7.39263,"22/9/2017 2:30:31"
7.39263,"22/9/2017 2:30:32"
7.39263,"22/9/2017 2:30:34"
7.39263,"22/9/2017 2:30:35"
7.39263,"22/9/2017 2:30:35"
7.39263,"22/9/2017 2:30:36"
7.39263,"22/9/2017 2:30:37"
7.39263,"22/9/2017 2:30:40"
7.39263,"22/9/2017 2:30:40"
7.39263,"22/9/2017 2:30:40"
7.39263,"22/9/2017 2:30:41"
7.39263,"22/9/2017 2:30:43"
7.39263,"22/9/2017 2:30:44"
7.39263,"22/9/2017 2:30:44"
7.39263,"22/9/2017 2:30:45"
7.39263,"22/9/2017 2:30:46"
7.39263,"22/9/2017 2:30:48"
7.39263,"22/9/2017 2:30:48"
7.39263,"22/9/2017 2:30:50"
7.39263,"22/9/2017 2:30:50"
7.39263,"22/9/2017 2:30:51"
7.39263,"22/9/2017 2:30:53"
7.39263,"22/9/2017 2:30:53"
7.39263,"22/9/2017 2:30:54"
7.39263,"22/9/2017 2:30:57"
7.39263,"22/9/2017 2:30:58"
7.39263,"22/9/2017 2:30:58"
7.39263,"22/9/2017 2:30:58"
7.39263,"22/9/2017 2:30:59"
7.39263,"22/9/2017 2:31:2"
7.39263,"22/9/2017 2:31:3"
7.39263,"22/9/2017 2:31:3"
7.39263,"22/9/2017 2:31:4"
7.39263,"22/9/2017 2:31:5"
7.39263,"22/9/2017 2:31:5"
7.39263,"22/9/2017 2:31:7"
7.39263,"22/9/2017 2:31:8"
7.41903,"22/9/2017 2:31:9"
7.41903,"22/9/2017 2:31:11"
7.41903,"22/9/2017 2:31:11"
7.41903,"22/9/2017 2:31:12"
7.41903,"22/9/2017 2:31:12"
7.41903,"22/9/2017 2:31:14"
7.41903,"22/9/2017 2:31:15"
7.41903,"22/9/2017 2:31:16"
7.41903,"22/9/2017 2:31:17"
7.41903,"22/9/2017 2:31:18"
7.41903,"22/9/2017 2:31:21"
7.41903,"22/9/2017 2:31:21"
7.41903,"22/9/2017 2:31:22"
7.41903,"22/9/2017 2:31:22"
7.41903,"22/9/2017 2:31:24"
7.41903,"22/9/2017 2:31:24"
7.41903,"22/9/2017 2:31:25"
7.41903,"22/9/2017 2:31:26"
7.41903,"22/9/2017 2:31:27"
7.41903,"22/9/2017 2:31:27"
7.41903,"22/9/2017 2:31:29"
7.41903,"22/9/2017 2:31:30"
7.41903,"22/9/2017 2:31:32"
7.41903,"22/9/2017 2:31:33"
7.41903,"22/9/2017 2:31:33"
7.41903,"22/9/2017 2:31:34"
7.41903,"22/9/2017 2:31:35"
7.41903,"22/9/2017 2:31:36"
7.41903,"22/9/2017 2:31:37"
7.41903,"22/9/2017 2:31:37"
7.41903,"22/9/2017 2:31:39"
7.41903,"22/9/2017 2:31:40"
7.41903,"22/9/2017 2:31:43"
7.41903,"22/9/2017 2:31:43"
7.41903,"22/9/2017 2:31:43"
7.41903,"22/9/2017 2:31:44"
7.41903,"22/9/2017 2:31:47"
7.41903,"22/9/2017 2:31:47"
7.41903,"22/9/2017 2:31:47"
7.41903,"22/9/2017 2:31:48"
7.41903,"22/9/2017 2:31:49"
7.41903,"22/9/2017 2:31:52"
7.41903,"22/9/2017 2:31:52"
7.41903,"22/9/2017 2:31:52"
7.41903,"22/9/2017 2:31:53"
7.41903,"22/9/2017 2:31:55"
7.41903,"22/9/2017 2:31:56"
7.41903,"22/9/2017 2:31:56"
7.41903,"22/9/2017 2:31:57"
7.41903,"22/9/2017 2:31:59"
7.41903,"22/9/2017 2:32:0"
7.41903,"22/9/2017 2:32:0"
7.41903,"22/9/2017 2:32:1"
7.41903,"22/9/2017 2:32:4"
7.41903,"22/9/2017 2:32:4"
7.41903,"22/9/2017 2:32:4"
7.41903,"22/9/2017 2:32:5"
7.41903,"22/9/2017 2:32:6"
7.41903,"22/9/2017 2:32:7"
7.41903,"22/9/2017 2:32:10"
7.41903,"22/9/2017 2:32:10"
7.41903,"22/9/2017 2:32:10"
7.41903,"22/9/2017 2:32:11"
7.41903,"22/9/2017 2:32:12"
7.41903,"22/9/2017 2:32:13"
7.41903,"22/9/2017 2:32:14"
7.41903,"22/9/2017 2:32:15"
7.41903,"22/9/2017 2:32:16"
7.41903,"22/9/2017 2:32:18"
7.41903,"22/9/2017 2:32:18"
7.41903,"22/9/2017 2:32:19"
7.41903,"22/9/2017 2:32:20"
7.41903,"22/9/2017 2:32:21"
7.41903,"22/9/2017 2:32:22"
7.41903,"22/9/2017 2:32:23"
7.41903,"22/9/2017 2:32:24"
7.41903,"22/9/2017 2:32:25"
7.41903,"22/9/2017 2:32:27"
7.41903,"22/9/2017 2:32:28"
7.41903,"22/9/2017 2:32:28"
7.41903,"22/9/2017 2:32:29"
7.41903,"22/9/2017 2:32:31"
7.41903,"22/9/2017 2:32:31"
7.41903,"22/9/2017 2:32:32"
7.41903,"22/9/2017 2:32:34"
7.41903,"22/9/2017 2:32:34"
7.41903,"22/9/2017 2:32:35"
7.41903,"22/9/2017 2:32:36"
7.41903,"22/9/2017 2:32:37"
7.41903,"22/9/2017 2:32:38"
7.41903,"22/9/2017 2:32:39"
7.41903,"22/9/2017 2:32:41"
7.41903,"22/9/2017 2:32:41"
7.41903,"22/9/2017 2:32:42"
7.41903,"22/9/2017 2:32:45"
7.41903,"22/9/2017 2:32:45"
7.41903,"22/9/2017 2:32:45"
7.41903,"22/9/2017 2:32:46"
7.41903,"22/9/2017 2:32:47"
7.41903,"22/9/2017 2:32:48"
7.41903,"22/9/2017 2:32:49"
7.41903,"22/9/2017 2:32:50"
7.41903,"22/9/2017 2:32:51"
7.41903,"22/9/2017 2:32:52"
7.41903,"22/9/2017 2:32:53"
7.41903,"22/9/2017 2:32:54"
7.41903,"22/9/2017 2:32:55"
7.41903,"22/9/2017 2:32:57"
7.41903,"22/9/2017 2:32:58"
7.41903,"22/9/2017 2:32:58"
7.41903,"22/9/2017 2:32:59"
7.41903,"22/9/2017 2:33:1"
7.41903,"22/9/2017 2:33:1"
7.41903,"22/9/2017 2:33:2"
7.41903,"22/9/2017 2:33:3"
7.41903,"22/9/2017 2:33:4"
7.41903,"22/9/2017 2:33:5"
7.41903,"22/9/2017 2:33:6"
7.41903,"22/9/2017 2:33:7"
7.41903,"22/9/2017 2:33:8"
7.41903,"22/9/2017 2:33:9"
7.41903,"22/9/2017 2:33:11"
7.41903,"22/9/2017 2:33:12"
7.41903,"22/9/2017 2:33:12"
7.41903,"22/9/2017 2:33:13"
7.41903,"22/9/2017 2:33:14"
7.41903,"22/9/2017 2:33:15"
7.41903,"22/9/2017 2:33:16"
7.41903,"22/9/2017 2:33:17"
7.41903,"22/9/2017 2:33:18"
7.41903,"22/9/2017 2:33:19"
7.41903,"22/9/2017 2:33:20"
7.41903,"22/9/2017 2:33:23"
7.41903,"22/9/2017 2:33:23"
7.41903,"22/9/2017 2:33:23"
7.41903,"22/9/2017 2:33:26"
7.41903,"22/9/2017 2:33:26"
7.41903,"22/9/2017 2:33:27"
7.41903,"22/9/2017 2:33:27"
7.41903,"22/9/2017 2:33:29"
7.41903,"22/9/2017 2:33:29"
7.41903,"22/9/2017 2:33:30"
7.41903,"22/9/2017 2:33:31"
7.41903,"22/9/2017 2:33:32"
7.41903,"22/9/2017 2:33:33"
7.41903,"22/9/2017 2:33:36"
7.41903,"22/9/2017 2:33:36"
7.41903,"22/9/2017 2:33:36"
7.41903,"22/9/2017 2:33:39"
7.41903,"22/9/2017 2:33:40"
7.41903,"22/9/2017 2:33:40"
7.41903,"22/9/2017 2:33:40"
7.41903,"22/9/2017 2:33:41"
7.41903,"22/9/2017 2:33:42"
7.41903,"22/9/2017 2:33:43"
7.41903,"22/9/2017 2:33:46"
7.41903,"22/9/2017 2:33:46"
7.41903,"22/9/2017 2:33:47"
7.41903,"22/9/2017 2:33:47"
7.41903,"22/9/2017 2:33:48"
7.41903,"22/9/2017 2:33:49"
7.41903,"22/9/2017 2:33:50"
7.41903,"22/9/2017 2:33:53"
7.41903,"22/9/2017 2:33:53"
7.41903,"22/9/2017 2:33:53"
7.41903,"22/9/2017 2:33:54"
7.41903,"22/9/2017 2:33:55"
7.41903,"22/9/2017 2:33:56"
7.41903,"22/9/2017 2:33:58"
7.41903,"22/9/2017 2:33:58"
7.41903,"22/9/2017 2:34:0"
7.41903,"22/9/2017 2:34:2"
7.41903,"22/9/2017 2:34:2"
7.41903,"22/9/2017 2:34:2"
7.41903,"22/9/2017 2:34:4"
7.41903,"22/9/2017 2:34:4"
7.41903,"22/9/2017 2:34:7"
7.41903,"22/9/2017 2:34:7"
7.41903,"22/9/2017 2:34:7"
7.41903,"22/9/2017 2:34:8"
7.41903,"22/9/2017 2:34:9"
7.41903,"22/9/2017 2:34:10"
7.41903,"22/9/2017 2:34:12"
7.41903,"22/9/2017 2:34:12"
7.41903,"22/9/2017 2:34:13"
7.41903,"22/9/2017 2:34:16"
7.41903,"22/9/2017 2:34:16"
7.41903,"22/9/2017 2:34:16"
7.41903,"22/9/2017 2:34:17"
7.41903,"22/9/2017 2:34:18"
