"price","date"
3.53792,"22/9/2017 2:29:29"
3.53792,"22/9/2017 2:29:30"
3.53792,"22/9/2017 2:29:31"
3.53792,"22/9/2017 2:29:33"
3.53792,"22/9/2017 2:29:34"
3.53792,"22/9/2017 2:29:34"
3.53792,"22/9/2017 2:29:35"
3.53792,"22/9/2017 2:29:36"
3.53792,"22/9/2017 2:29:37"
3.53792,"22/9/2017 2:29:38"
3.53792,"22/9/2017 2:29:40"
3.53792,"22/9/2017 2:29:42"
3.53792,"22/9/2017 2:29:42"
3.53792,"22/9/2017 2:29:42"
3.53792,"22/9/2017 2:29:43"
3.53792,"22/9/2017 2:29:44"
3.53792,"22/9/2017 2:29:45"
3.53792,"22/9/2017 2:29:46"
3.53792,"22/9/2017 2:29:48"
3.53792,"22/9/2017 2:29:50"
3.53792,"22/9/2017 2:29:50"
3.53792,"22/9/2017 2:29:50"
3.53792,"22/9/2017 2:29:51"
3.53792,"22/9/2017 2:29:53"
3.53792,"22/9/2017 2:29:54"
3.53792,"22/9/2017 2:29:55"
3.53792,"22/9/2017 2:29:55"
3.53792,"22/9/2017 2:29:56"
3.53792,"22/9/2017 2:29:58"
3.53792,"22/9/2017 2:30:0"
3.53792,"22/9/2017 2:30:0"
3.53792,"22/9/2017 2:30:2"
3.53792,"22/9/2017 2:30:2"
3.53792,"22/9/2017 2:30:3"
3.53792,"22/9/2017 2:30:3"
3.53792,"22/9/2017 2:30:4"
3.53792,"22/9/2017 2:30:6"
3.53792,"22/9/2017 2:30:8"
3.53792,"22/9/2017 2:30:8"
3.53792,"22/9/2017 2:30:9"
3.53792,"22/9/2017 2:30:9"
3.53792,"22/9/2017 2:30:10"
3.53792,"22/9/2017 2:30:11"
3.53792,"22/9/2017 2:30:12"
3.53792,"22/9/2017 2:30:13"
3.53792,"22/9/2017 2:30:16"
3.53792,"22/9/2017 2:30:16"
3.53792,"22/9/2017 2:30:17"
3.53792,"22/9/2017 2:30:17"
3.53792,"22/9/2017 2:30:18"
3.53792,"22/9/2017 2:30:19"
3.53792,"22/9/2017 2:30:21"
3.53792,"22/9/2017 2:30:21"
3.53792,"22/9/2017 2:30:22"
3.53792,"22/9/2017 2:30:23"
3.53792,"22/9/2017 2:30:26"
3.53792,"22/9/2017 2:30:26"
3.53792,"22/9/2017 2:30:26"
3.53792,"22/9/2017 2:30:27"
3.53792,"22/9/2017 2:30:30"
3.53792,"22/9/2017 2:30:30"
3.53792,"22/9/2017 2:30:30"
3.53792,"22/9/2017 2:30:31"
3.53792,"22/9/2017 2:30:32"
3.53792,"22/9/2017 2:30:34"
3.53792,"22/9/2017 2:30:35"
3.53792,"22/9/2017 2:30:35"
3.53792,"22/9/2017 2:30:36"
3.53792,"22/9/2017 2:30:37"
3.53792,"22/9/2017 2:30:40"
3.53792,"22/9/2017 2:30:40"
3.53792,"22/9/2017 2:30:40"
3.53792,"22/9/2017 2:30:41"
3.53792,"22/9/2017 2:30:43"
3.53792,"22/9/2017 2:30:44"
3.53792,"22/9/2017 2:30:44"
3.53792,"22/9/2017 2:30:45"
3.53792,"22/9/2017 2:30:46"
3.53792,"22/9/2017 2:30:48"
3.53792,"22/9/2017 2:30:48"
3.53792,"22/9/2017 2:30:50"
3.53792,"22/9/2017 2:30:50"
3.53792,"22/9/2017 2:30:51"
3.53792,"22/9/2017 2:30:53"
3.53792,"22/9/2017 2:30:53"
3.53792,"22/9/2017 2:30:54"
3.53792,"22/9/2017 2:30:57"
3.53792,"22/9/2017 2:30:58"
3.53792,"22/9/2017 2:30:58"
3.53792,"22/9/2017 2:30:58"
3.53792,"22/9/2017 2:30:59"
3.53792,"22/9/2017 2:31:2"
3.53792,"22/9/2017 2:31:3"
3.53792,"22/9/2017 2:31:3"
3.53792,"22/9/2017 2:31:4"
3.53792,"22/9/2017 2:31:5"
3.53792,"22/9/2017 2:31:5"
3.53792,"22/9/2017 2:31:7"
3.53792,"22/9/2017 2:31:8"
3.53279,"22/9/2017 2:31:9"
3.53279,"22/9/2017 2:31:11"
3.53279,"22/9/2017 2:31:11"
3.53279,"22/9/2017 2:31:12"
3.53279,"22/9/2017 2:31:12"
3.53279,"22/9/2017 2:31:14"
3.53279,"22/9/2017 2:31:15"
3.53279,"22/9/2017 2:31:16"
