"price","date"
88.1306,"2017-10-22T07:23:14.469Z"
88.1306,"2017-10-22T07:23:14.688Z"
88.1306,"2017-10-22T07:23:15.161Z"
88.1306,"2017-10-22T07:23:15.806Z"
88.1306,"2017-10-22T07:23:16.840Z"
88.1306,"2017-10-22T07:23:16.848Z"
88.1306,"2017-10-22T07:23:17.183Z"
88.1306,"2017-10-22T07:23:17.606Z"
88.1306,"2017-10-22T07:23:18.325Z"
88.1306,"2017-10-22T07:23:18.894Z"
88.1306,"2017-10-22T07:23:19.204Z"
88.1306,"2017-10-22T07:23:19.808Z"
88.1306,"2017-10-22T07:23:20.495Z"
88.1306,"2017-10-22T07:23:21.865Z"
88.1306,"2017-10-22T07:23:21.957Z"
88.1306,"2017-10-22T07:23:22.007Z"
88.1306,"2017-10-22T07:23:22.212Z"
88.1306,"2017-10-22T07:23:22.812Z"
88.1306,"2017-10-22T07:23:23.179Z"
88.1306,"2017-10-22T07:23:23.524Z"
88.1306,"2017-10-22T07:23:24.119Z"
88.1306,"2017-10-22T07:23:26.113Z"
88.1306,"2017-10-22T07:23:26.181Z"
88.1306,"2017-10-22T07:23:26.192Z"
88.1306,"2017-10-22T07:23:26.198Z"
88.1306,"2017-10-22T07:23:26.699Z"
88.1306,"2017-10-22T07:23:27.134Z"
88.1306,"2017-10-22T07:23:28.343Z"
88.1306,"2017-10-22T07:23:28.404Z"
88.1306,"2017-10-22T07:23:29.806Z"
88.1306,"2017-10-22T07:23:31.451Z"
88.1306,"2017-10-22T07:23:31.579Z"
88.1306,"2017-10-22T07:23:31.598Z"
88.1306,"2017-10-22T07:23:31.605Z"
88.1306,"2017-10-22T07:23:31.761Z"
88.1306,"2017-10-22T07:23:31.823Z"
88.1306,"2017-10-22T07:23:32.132Z"
88.1306,"2017-10-22T07:23:32.680Z"
88.1306,"2017-10-22T07:23:35.313Z"
88.1306,"2017-10-22T07:23:35.454Z"
88.1306,"2017-10-22T07:23:35.517Z"
88.1306,"2017-10-22T07:23:35.536Z"
88.1306,"2017-10-22T07:23:35.586Z"
88.1306,"2017-10-22T07:23:35.711Z"
88.1306,"2017-10-22T07:23:36.246Z"
88.1306,"2017-10-22T07:23:36.749Z"
88.1306,"2017-10-22T07:23:39.724Z"
88.1306,"2017-10-22T07:23:39.796Z"
88.1306,"2017-10-22T07:23:39.947Z"
88.1306,"2017-10-22T07:23:39.961Z"
88.1306,"2017-10-22T07:23:39.968Z"
88.1306,"2017-10-22T07:23:39.981Z"
88.1306,"2017-10-22T07:23:40.383Z"
88.1306,"2017-10-22T07:23:40.980Z"
88.1306,"2017-10-22T07:23:41.926Z"
88.1306,"2017-10-22T07:23:42.305Z"
88.1306,"2017-10-22T07:23:42.335Z"
88.1306,"2017-10-22T07:23:42.725Z"
88.1306,"2017-10-22T07:23:43.270Z"
88.1306,"2017-10-22T07:23:43.777Z"
88.1306,"2017-10-22T07:23:44.366Z"
88.1306,"2017-10-22T07:23:44.765Z"
88.1306,"2017-10-22T07:23:45.233Z"
88.1306,"2017-10-22T07:23:45.755Z"
88.1306,"2017-10-22T07:23:46.274Z"
88.1306,"2017-10-22T07:23:48.820Z"
88.1306,"2017-10-22T07:23:49.131Z"
88.1306,"2017-10-22T07:23:49.191Z"
88.1306,"2017-10-22T07:23:49.234Z"
88.1306,"2017-10-22T07:23:49.271Z"
88.1306,"2017-10-22T07:23:49.358Z"
88.1306,"2017-10-22T07:23:50.174Z"
88.1306,"2017-10-22T07:23:50.332Z"
88.1306,"2017-10-22T07:23:51.869Z"
88.1306,"2017-10-22T07:23:53.175Z"
88.1306,"2017-10-22T07:23:53.228Z"
88.1306,"2017-10-22T07:23:53.255Z"
88.1306,"2017-10-22T07:23:53.356Z"
88.1306,"2017-10-22T07:23:53.371Z"
88.1306,"2017-10-22T07:23:53.792Z"
88.1306,"2017-10-22T07:23:54.287Z"
88.1306,"2017-10-22T07:23:54.788Z"
88.1306,"2017-10-22T07:23:55.292Z"
88.1306,"2017-10-22T07:23:55.889Z"
88.1306,"2017-10-22T07:23:56.300Z"
88.1306,"2017-10-22T07:23:56.813Z"
88.1306,"2017-10-22T07:23:57.301Z"
88.1306,"2017-10-22T07:23:57.796Z"
88.1306,"2017-10-22T07:23:58.214Z"
88.1306,"2017-10-22T07:23:58.824Z"
88.1306,"2017-10-22T07:23:59.390Z"
