"price","date"
212.336,"2017-10-22T07:23:14.469Z"
212.336,"2017-10-22T07:23:14.688Z"
212.336,"2017-10-22T07:23:15.161Z"
212.336,"2017-10-22T07:23:15.806Z"
212.336,"2017-10-22T07:23:16.840Z"
212.336,"2017-10-22T07:23:16.848Z"
212.336,"2017-10-22T07:23:17.183Z"
212.336,"2017-10-22T07:23:17.606Z"
212.336,"2017-10-22T07:23:18.325Z"
212.336,"2017-10-22T07:23:18.894Z"
212.336,"2017-10-22T07:23:19.204Z"
212.336,"2017-10-22T07:23:19.808Z"
212.336,"2017-10-22T07:23:20.495Z"
212.336,"2017-10-22T07:23:21.865Z"
212.336,"2017-10-22T07:23:21.957Z"
212.336,"2017-10-22T07:23:22.007Z"
212.336,"2017-10-22T07:23:22.212Z"
212.336,"2017-10-22T07:23:22.812Z"
212.336,"2017-10-22T07:23:23.179Z"
212.336,"2017-10-22T07:23:23.524Z"
212.336,"2017-10-22T07:23:24.119Z"
212.336,"2017-10-22T07:23:26.113Z"
212.336,"2017-10-22T07:23:26.181Z"
212.336,"2017-10-22T07:23:26.192Z"
212.336,"2017-10-22T07:23:26.198Z"
212.336,"2017-10-22T07:23:26.699Z"
212.336,"2017-10-22T07:23:27.134Z"
212.336,"2017-10-22T07:23:28.343Z"
212.336,"2017-10-22T07:23:28.404Z"
212.336,"2017-10-22T07:23:29.806Z"
212.336,"2017-10-22T07:23:31.451Z"
212.336,"2017-10-22T07:23:31.579Z"
212.336,"2017-10-22T07:23:31.598Z"
212.336,"2017-10-22T07:23:31.605Z"
212.336,"2017-10-22T07:23:31.761Z"
212.336,"2017-10-22T07:23:31.823Z"
212.336,"2017-10-22T07:23:32.132Z"
212.336,"2017-10-22T07:23:32.680Z"
212.336,"2017-10-22T07:23:35.313Z"
212.336,"2017-10-22T07:23:35.454Z"
212.336,"2017-10-22T07:23:35.517Z"
212.336,"2017-10-22T07:23:35.536Z"
212.336,"2017-10-22T07:23:35.586Z"
212.336,"2017-10-22T07:23:35.711Z"
212.336,"2017-10-22T07:23:36.246Z"
212.336,"2017-10-22T07:23:36.749Z"
212.336,"2017-10-22T07:23:39.724Z"
212.336,"2017-10-22T07:23:39.796Z"
212.336,"2017-10-22T07:23:39.947Z"
212.336,"2017-10-22T07:23:39.961Z"
212.336,"2017-10-22T07:23:39.968Z"
212.336,"2017-10-22T07:23:39.981Z"
212.336,"2017-10-22T07:23:40.383Z"
212.336,"2017-10-22T07:23:40.980Z"
212.336,"2017-10-22T07:23:41.926Z"
212.336,"2017-10-22T07:23:42.305Z"
212.336,"2017-10-22T07:23:42.335Z"
212.336,"2017-10-22T07:23:42.725Z"
212.336,"2017-10-22T07:23:43.270Z"
212.336,"2017-10-22T07:23:43.777Z"
212.336,"2017-10-22T07:23:44.366Z"
212.336,"2017-10-22T07:23:44.765Z"
212.336,"2017-10-22T07:23:45.233Z"
212.336,"2017-10-22T07:23:45.755Z"
212.336,"2017-10-22T07:23:46.274Z"
212.336,"2017-10-22T07:23:48.820Z"
212.336,"2017-10-22T07:23:49.131Z"
212.336,"2017-10-22T07:23:49.191Z"
212.336,"2017-10-22T07:23:49.234Z"
212.336,"2017-10-22T07:23:49.271Z"
212.336,"2017-10-22T07:23:49.358Z"
212.336,"2017-10-22T07:23:50.174Z"
212.336,"2017-10-22T07:23:50.332Z"
212.336,"2017-10-22T07:23:51.869Z"
212.336,"2017-10-22T07:23:53.175Z"
212.336,"2017-10-22T07:23:53.228Z"
212.336,"2017-10-22T07:23:53.255Z"
212.336,"2017-10-22T07:23:53.356Z"
212.336,"2017-10-22T07:23:53.371Z"
212.336,"2017-10-22T07:23:53.792Z"
212.336,"2017-10-22T07:23:54.287Z"
212.336,"2017-10-22T07:23:54.788Z"
212.336,"2017-10-22T07:23:55.292Z"
212.336,"2017-10-22T07:23:55.889Z"
212.336,"2017-10-22T07:23:56.300Z"
212.336,"2017-10-22T07:23:56.813Z"
212.336,"2017-10-22T07:23:57.301Z"
212.336,"2017-10-22T07:23:57.796Z"
212.336,"2017-10-22T07:23:58.214Z"
212.336,"2017-10-22T07:23:58.824Z"
212.336,"2017-10-22T07:23:59.390Z"
